Time t;Delay
0;3.47047e-05
3.09839e-05;3.47019e-05
6.19677e-05;3.46991e-05
9.29516e-05;3.46963e-05
0.000123935;3.46935e-05
0.000154919;3.46907e-05
0.000185903;3.46879e-05
0.000216887;3.46852e-05
0.000247871;3.46824e-05
0.000278855;3.46796e-05
0.000309839;3.46768e-05
0.000340823;3.4674e-05
0.000371806;3.46712e-05
0.00040279;3.46684e-05
0.000433774;3.46656e-05
0.000464758;3.46629e-05
0.000495742;3.46601e-05
0.000526726;3.46573e-05
0.00055771;3.46545e-05
0.000588693;3.46517e-05
0.000619677;3.46489e-05
0.000650661;3.46461e-05
0.000681645;3.46433e-05
0.000712629;3.46405e-05
0.000743613;3.46378e-05
0.000774597;3.4635e-05
0.000805581;3.46322e-05
0.000836564;3.46294e-05
0.000867548;3.46266e-05
0.000898532;3.46238e-05
0.000929516;3.4621e-05
0.0009605;3.46182e-05
0.000991484;3.46155e-05
0.00102247;3.46127e-05
0.00105345;3.46099e-05
0.00108444;3.46071e-05
0.00111542;3.46043e-05
0.0011464;3.46015e-05
0.00117739;3.45987e-05
0.00120837;3.4596e-05
0.00123935;3.45932e-05
0.00127034;3.45904e-05
0.00130132;3.45876e-05
0.00133231;3.45848e-05
0.00136329;3.4582e-05
0.00139427;3.45792e-05
0.00142526;3.45765e-05
0.00145624;3.45737e-05
0.00148723;3.45709e-05
0.00151821;3.45681e-05
0.00154919;3.45653e-05
0.00158018;3.45625e-05
0.00161116;3.45597e-05
0.00164214;3.4557e-05
0.00167313;3.45542e-05
0.00170411;3.45514e-05
0.0017351;3.45486e-05
0.00176608;3.45458e-05
0.00179706;3.4543e-05
0.00182805;3.45402e-05
0.00185903;3.45375e-05
0.00189002;3.45347e-05
0.001921;3.45319e-05
0.00195198;3.45291e-05
0.00198297;3.45263e-05
0.00201395;3.45235e-05
0.00204494;3.45207e-05
0.00207592;3.4518e-05
0.0021069;3.45152e-05
0.00213789;3.45124e-05
0.00216887;3.45096e-05
0.00219985;3.45068e-05
0.00223084;3.4504e-05
0.00226182;3.45013e-05
0.00229281;3.44985e-05
0.00232379;3.44957e-05
0.00235477;3.44929e-05
0.00238576;3.44901e-05
0.00241674;3.44873e-05
0.00244773;3.44846e-05
0.00247871;3.44818e-05
0.00250969;3.4479e-05
0.00254068;3.44762e-05
0.00257166;3.44734e-05
0.00260264;3.44706e-05
0.00263363;3.44679e-05
0.00266461;3.44651e-05
0.0026956;3.44623e-05
0.00272658;3.44595e-05
0.00275756;3.44567e-05
0.00278855;3.44539e-05
0.00281953;3.44512e-05
0.00285052;3.44484e-05
0.0028815;3.44456e-05
0.00291248;3.44428e-05
0.00294347;3.444e-05
0.00297445;3.44372e-05
0.00300544;3.44345e-05
0.00303642;3.44317e-05
0.0030674;3.44289e-05
0.00309839;3.44261e-05
0.00312937;3.44233e-05
0.00316035;3.44206e-05
0.00319134;3.44178e-05
