Time t;Signal Gain
0.00793187;38.7902
0.00796285;38.7886
0.00799384;38.7869
0.00802482;38.7853
0.00805581;38.7837
0.00808679;38.782
0.00811777;38.7804
0.00814876;38.7787
0.00817974;38.7771
0.00821072;38.7754
0.00824171;38.7738
0.00827269;38.7721
0.00830368;38.7704
0.00833466;38.7687
0.00836564;38.7671
0.00839663;38.7654
0.00842761;38.7637
0.0084586;38.762
0.00848958;38.7603
0.00852056;38.7586
0.00855155;38.7569
0.00858253;38.7551
0.00861351;38.7534
0.0086445;38.7517
0.00867548;38.75
0.00870647;38.7482
0.00873745;38.7465
0.00876843;38.7447
0.00879942;38.743
0.0088304;38.7412
0.00886139;38.7395
0.00889237;38.7377
0.00892335;38.7359
0.00895434;38.7342
0.00898532;38.7324
0.00901631;38.7306
0.00904729;38.7288
0.00907827;38.727
0.00910926;38.7252
0.00914024;38.7234
0.00917122;38.7216
0.00920221;38.7198
0.00923319;38.718
0.00926418;38.7162
0.00929516;38.7144
0.00932614;38.7125
0.00935713;38.7107
0.00938811;38.7089
0.0094191;38.707
0.00945008;38.7052
0.00948106;38.7033
0.00951205;38.7015
0.00954303;38.6996
0.00957401;38.6978
0.009605;38.6959
0.00963598;38.694
0.00966697;38.6922
0.00969795;38.6903
0.00972893;38.6884
0.00975992;38.6865
0.0097909;38.6846
0.00982189;38.6827
0.00985287;38.6808
0.00988385;38.6789
0.00991484;38.677
0.00994582;38.6751
0.00997681;38.6732
0.0100078;38.6712
0.0100388;38.6693
0.0100698;38.6674
0.0101007;38.6655
0.0101317;38.6635
0.0101627;38.6616
0.0101937;38.6596
0.0102247;38.6577
0.0102557;38.6557
0.0102866;38.6538
0.0103176;38.6518
0.0103486;38.6498
0.0103796;38.6479
0.0104106;38.6459
0.0104416;38.6439
0.0104725;38.6419
0.0105035;38.6399
0.0105345;38.638
0.0105655;38.636
0.0105965;38.634
0.0106275;38.632
0.0106585;38.63
0.0106894;38.6279
0.0107204;38.6259
0.0107514;38.6239
0.0107824;38.6219
0.0108134;38.6199
0.0108444;38.6178
0.0108753;38.6158
0.0109063;38.6138
0.0109373;38.6117
0.0109683;38.6097
0.0109993;38.6076
0.0110303;38.6056
0.0110612;38.6035
0.0110922;38.6015
0.0111232;38.5994
0.0111542;38.5973
0.0111852;38.5953
0.0112162;38.5932
0.0112471;38.5911
0.0112781;38.589
0.0113091;38.5869
0.0113401;38.5848
0.0113711;38.5827
0.0114021;38.5806
0.011433;38.5785
0.011464;38.5764
0.011495;38.5743
0.011526;38.5722
0.011557;38.5701
0.011588;38.568
0.011619;38.5659
0.0116499;38.5637
0.0116809;38.5616
0.0117119;38.5595
0.0117429;38.5573
0.0117739;38.5552
0.0118049;38.5531
0.0118358;38.5509
0.0118668;38.5488
0.0118978;38.5466
0.0119288;38.5444
0.0119598;38.5423
0.0119908;38.5401
0.0120217;38.5379
0.0120527;38.5358
0.0120837;38.5336
0.0121147;38.5314
0.0121457;38.5292
0.0121767;38.5271
0.0122076;38.5249
0.0122386;38.5227
0.0122696;38.5205
0.0123006;38.5183
0.0123316;38.5161
0.0123626;38.5139
0.0123935;38.5117
0.0124245;38.5095
0.0124555;38.5072
0.0124865;38.505
0.0125175;38.5028
0.0125485;38.5006
0.0125794;38.4983
0.0126104;38.4961
0.0126414;38.4939
0.0126724;38.4916
0.0127034;38.4894
0.0127344;38.4872
0.0127654;38.4849
0.0127963;38.4827
0.0128273;38.4804
0.0128583;38.4782
0.0128893;38.4759
0.0129203;38.4736
0.0129513;38.4714
0.0129822;38.4691
0.0130132;38.4668
0.0130442;38.4646
0.0130752;38.4623
0.0131062;38.46
0.0131372;38.4577
0.0131681;38.4554
0.0131991;38.4531
0.0132301;38.4508
0.0132611;38.4485
0.0132921;38.4462
0.0133231;38.4439
0.013354;38.4416
0.013385;38.4393
0.013416;38.437
0.013447;38.4347
0.013478;38.4324
0.013509;38.4301
0.0135399;38.4277
0.0135709;38.4254
0.0136019;38.4231
0.0136329;38.4208
0.0136639;38.4184
0.0136949;38.4161
0.0137259;38.4138
0.0137568;38.4114
0.0137878;38.4091
0.0138188;38.4067
0.0138498;38.4044
0.0138808;38.402
0.0139118;38.3997
0.0139427;38.3973
0.0139737;38.3949
0.0140047;38.3926
0.0140357;38.3902
0.0140667;38.3878
0.0140977;38.3855
0.0141286;38.3831
0.0141596;38.3807
0.0141906;38.3783
0.0142216;38.3759
0.0142526;38.3736
0.0142836;38.3712
0.0143145;38.3688
0.0143455;38.3664
0.0143765;38.364
0.0144075;38.3616
0.0144385;38.3592
0.0144695;38.3568
0.0145004;38.3544
0.0145314;38.352
0.0145624;38.3496
0.0145934;38.3471
0.0146244;38.3447
0.0146554;38.3423
0.0146864;38.3399
0.0147173;38.3375
0.0147483;38.335
0.0147793;38.3326
0.0148103;38.3302
0.0148413;38.3277
0.0148723;38.3253
0.0149032;38.3229
0.0149342;38.3204
0.0149652;38.318
0.0149962;38.3155
0.0150272;38.3131
0.0150582;38.3106
0.0150891;38.3082
0.0151201;38.3057
0.0151511;38.3033
0.0151821;38.3008
0.0152131;38.2983
0.0152441;38.2959
0.015275;38.2934
0.015306;38.2909
0.015337;38.2885
0.015368;38.286
0.015399;38.2835
0.01543;38.281
0.0154609;38.2786
0.0154919;38.2761
0.0155229;38.2736
0.0155539;38.2711
0.0155849;38.2686
0.0156159;38.2661
0.0156469;38.2636
0.0156778;38.2611
0.0157088;38.2586
0.0157398;38.2561
0.0157708;38.2536
0.0158018;38.2511
0.0158328;38.2486
0.0158637;38.2461
0.0158947;38.2436
0.0159257;38.2411
0.0159567;38.2386
0.0159877;38.236
0.0160187;38.2335
0.0160496;38.231
0.0160806;38.2285
0.0161116;38.226
0.0161426;38.2234
0.0161736;38.2209
0.0162046;38.2184
0.0162355;38.2158
0.0162665;38.2133
0.0162975;38.2108
0.0163285;38.2082
0.0163595;38.2057
0.0163905;38.2031
0.0164214;38.2006
0.0164524;38.198
0.0164834;38.1955
0.0165144;38.1929
0.0165454;38.1904
0.0165764;38.1878
0.0166074;38.1853
0.0166383;38.1827
0.0166693;38.1802
0.0167003;38.1776
0.0167313;38.175
0.0167623;38.1725
0.0167933;38.1699
0.0168242;38.1673
0.0168552;38.1648
0.0168862;38.1622
0.0169172;38.1596
0.0169482;38.157
0.0169792;38.1544
0.0170101;38.1519
0.0170411;38.1493
0.0170721;38.1467
0.0171031;38.1441
0.0171341;38.1415
0.0171651;38.1389
0.017196;38.1363
0.017227;38.1338
0.017258;38.1312
0.017289;38.1286
0.01732;38.126
0.017351;38.1234
0.0173819;38.1208
0.0174129;38.1182
0.0174439;38.1156
0.0174749;38.1129
0.0175059;38.1103
0.0175369;38.1077
0.0175679;38.1051
0.0175988;38.1025
0.0176298;38.0999
0.0176608;38.0973
0.0176918;38.0947
0.0177228;38.092
0.0177538;38.0894
0.0177847;38.0868
0.0178157;38.0842
0.0178467;38.0816
0.0178777;38.0789
0.0179087;38.0763
0.0179397;38.0737
0.0179706;38.071
0.0180016;38.0684
0.0180326;38.0658
0.0180636;38.0631
0.0180946;38.0605
0.0181256;38.0579
0.0181565;38.0552
0.0181875;38.0526
0.0182185;38.0499
0.0182495;38.0473
0.0182805;38.0446
0.0183115;38.042
0.0183424;38.0394
0.0183734;38.0367
0.0184044;38.0341
0.0184354;38.0314
0.0184664;38.0287
0.0184974;38.0261
0.0185284;38.0234
0.0185593;38.0208
0.0185903;38.0181
0.0186213;38.0155
0.0186523;38.0128
0.0186833;38.0101
0.0187143;38.0075
0.0187452;38.0048
0.0187762;38.0021
0.0188072;37.9995
0.0188382;37.9968
0.0188692;37.9941
0.0189002;37.9915
0.0189311;37.9888
0.0189621;37.9861
0.0189931;37.9834
0.0190241;37.9808
0.0190551;37.9781
0.0190861;37.9754
0.019117;37.9727
0.019148;37.97
0.019179;37.9674
0.01921;37.9647
0.019241;37.962
0.019272;37.9593
0.0193029;37.9566
0.0193339;37.9539
0.0193649;37.9512
0.0193959;37.9486
0.0194269;37.9459
0.0194579;37.9432
0.0194889;37.9405
0.0195198;37.9378
0.0195508;37.9351
0.0195818;37.9324
0.0196128;37.9297
0.0196438;37.927
0.0196748;37.9243
0.0197057;37.9216
0.0197367;37.9189
0.0197677;37.9162
0.0197987;37.9135
0.0198297;37.9108
0.0198607;37.9081
0.0198916;37.9054
0.0199226;37.9027
0.0199536;37.8999
0.0199846;37.8972
0.0200156;37.8945
0.0200466;37.8918
0.0200775;37.8891
0.0201085;37.8864
0.0201395;37.8837
0.0201705;37.881
0.0202015;37.8782
0.0202325;37.8755
0.0202634;37.8728
0.0202944;37.8701
0.0203254;37.8674
0.0203564;37.8646
0.0203874;37.8619
0.0204184;37.8592
0.0204494;37.8565
0.0204803;37.8538
0.0205113;37.851
0.0205423;37.8483
0.0205733;37.8456
0.0206043;37.8429
0.0206353;37.8401
0.0206662;37.8374
0.0206972;37.8347
0.0207282;37.8319
0.0207592;37.8292
0.0207902;37.8265
0.0208212;37.8237
0.0208521;37.821
0.0208831;37.8183
0.0209141;37.8155
0.0209451;37.8128
0.0209761;37.8101
0.0210071;37.8073
0.021038;37.8046
0.021069;37.8019
0.0211;37.7991
0.021131;37.7964
0.021162;37.7936
0.021193;37.7909
0.0212239;37.7881
0.0212549;37.7854
0.0212859;37.7827
0.0213169;37.7799
0.0213479;37.7772
0.0213789;37.7744
0.0214099;37.7717
0.0214408;37.7689
0.0214718;37.7662
0.0215028;37.7634
0.0215338;37.7607
0.0215648;37.7579
0.0215958;37.7552
0.0216267;37.7524
0.0216577;37.7497
0.0216887;37.7469
0.0217197;37.7442
0.0217507;37.7414
0.0217817;37.7387
0.0218126;37.7359
0.0218436;37.7332
0.0218746;37.7304
0.0219056;37.7277
0.0219366;37.7249
0.0219676;37.7222
0.0219985;37.7194
0.0220295;37.7167
0.0220605;37.7139
0.0220915;37.7111
0.0221225;37.7084
0.0221535;37.7056
0.0221844;37.7029
0.0222154;37.7001
0.0222464;37.6973
0.0222774;37.6946
0.0223084;37.6918
0.0223394;37.6891
0.0223704;37.6863
0.0224013;37.6835
0.0224323;37.6808
0.0224633;37.678
0.0224943;37.6752
0.0225253;37.6725
0.0225563;37.6697
0.0225872;37.667
0.0226182;37.6642
0.0226492;37.6614
0.0226802;37.6587
0.0227112;37.6559
0.0227422;37.6531
0.0227731;37.6504
0.0228041;37.6476
0.0228351;37.6448
0.0228661;37.6421
0.0228971;37.6393
0.0229281;37.6365
0.022959;37.6338
0.02299;37.631
0.023021;37.6282
0.023052;37.6255
0.023083;37.6227
0.023114;37.6199
0.0231449;37.6171
0.0231759;37.6144
0.0232069;37.6116
0.0232379;37.6088
0.0232689;37.6061
0.0232999;37.6033
0.0233309;37.6005
0.0233618;37.5978
0.0233928;37.595
0.0234238;37.5922
0.0234548;37.5894
0.0234858;37.5867
0.0235168;37.5839
0.0235477;37.5811
0.0235787;37.5783
0.0236097;37.5756
0.0236407;37.5728
0.0236717;37.57
0.0237027;37.5673
0.0237336;37.5645
0.0237646;37.5617
0.0237956;37.5589
0.0238266;37.5562
0.0238576;37.5534
0.0238886;37.5506
0.0239195;37.5478
0.0239505;37.5451
0.0239815;37.5423
0.0240125;37.5395
0.0240435;37.5367
0.0240745;37.534
0.0241054;37.5312
0.0241364;37.5284
0.0241674;37.5256
0.0241984;37.5229
0.0242294;37.5201
0.0242604;37.5173
0.0242914;37.5145
0.0243223;37.5118
0.0243533;37.509
0.0243843;37.5062
0.0244153;37.5034
0.0244463;37.5007
0.0244773;37.4979
0.0245082;37.4951
0.0245392;37.4923
0.0245702;37.4896
0.0246012;37.4868
0.0246322;37.484
0.0246632;37.4812
0.0246941;37.4785
0.0247251;37.4757
0.0247561;37.4729
0.0247871;37.4701
0.0248181;37.4674
0.0248491;37.4646
0.02488;37.4618
0.024911;37.459
0.024942;37.4563
0.024973;37.4535
0.025004;37.4507
0.025035;37.448
0.0250659;37.4452
0.0250969;37.4424
0.0251279;37.4396
0.0251589;37.4369
0.0251899;37.4341
0.0252209;37.4313
0.0252519;37.4285
0.0252828;37.4258
0.0253138;37.423
0.0253448;37.4202
0.0253758;37.4174
0.0254068;37.4147
0.0254378;37.4119
0.0254687;37.4091
0.0254997;37.4064
0.0255307;37.4036
0.0255617;37.4008
0.0255927;37.398
0.0256237;37.3953
0.0256546;37.3925
0.0256856;37.3897
0.0257166;37.387
0.0257476;37.3842
0.0257786;37.3814
0.0258096;37.3786
0.0258405;37.3759
0.0258715;37.3731
0.0259025;37.3703
0.0259335;37.3676
0.0259645;37.3648
0.0259955;37.362
0.0260264;37.3593
0.0260574;37.3565
0.0260884;37.3537
0.0261194;37.351
0.0261504;37.3482
0.0261814;37.3454
0.0262124;37.3427
0.0262433;37.3399
0.0262743;37.3371
0.0263053;37.3344
0.0263363;37.3316
0.0263673;37.3288
0.0263983;37.3261
0.0264292;37.3233
0.0264602;37.3205
0.0264912;37.3178
0.0265222;37.315
0.0265532;37.3122
0.0265842;37.3095
0.0266151;37.3067
0.0266461;37.304
0.0266771;37.3012
0.0267081;37.2984
0.0267391;37.2957
0.0267701;37.2929
0.026801;37.2902
0.026832;37.2874
0.026863;37.2846
0.026894;37.2819
0.026925;37.2791
0.026956;37.2764
0.0269869;37.2736
0.0270179;37.2708
0.0270489;37.2681
0.0270799;37.2653
0.0271109;37.2626
0.0271419;37.2598
0.0271729;37.2571
0.0272038;37.2543
0.0272348;37.2516
0.0272658;37.2488
0.0272968;37.246
0.0273278;37.2433
0.0273588;37.2405
0.0273897;37.2378
0.0274207;37.235
0.0274517;37.2323
0.0274827;37.2295
0.0275137;37.2268
0.0275447;37.224
0.0275756;37.2213
0.0276066;37.2185
0.0276376;37.2158
0.0276686;37.213
0.0276996;37.2103
0.0277306;37.2075
0.0277615;37.2048
0.0277925;37.202
0.0278235;37.1993
0.0278545;37.1966
0.0278855;37.1938
0.0279165;37.1911
0.0279474;37.1883
0.0279784;37.1856
0.0280094;37.1828
0.0280404;37.1801
0.0280714;37.1774
0.0281024;37.1746
0.0281334;37.1719
0.0281643;37.1691
0.0281953;37.1664
0.0282263;37.1637
0.0282573;37.1609
0.0282883;37.1582
0.0283193;37.1555
0.0283502;37.1527
0.0283812;37.15
0.0284122;37.1472
0.0284432;37.1445
0.0284742;37.1418
0.0285052;37.139
0.0285361;37.1363
0.0285671;37.1336
0.0285981;37.1309
0.0286291;37.1281
0.0286601;37.1254
0.0286911;37.1227
0.028722;37.1199
0.028753;37.1172
0.028784;37.1145
0.028815;37.1118
0.028846;37.109
0.028877;37.1063
0.0289079;37.1036
0.0289389;37.1009
0.0289699;37.0981
0.0290009;37.0954
0.0290319;37.0927
0.0290629;37.09
0.0290939;37.0872
0.0291248;37.0845
0.0291558;37.0818
0.0291868;37.0791
0.0292178;37.0764
0.0292488;37.0736
0.0292798;37.0709
0.0293107;37.0682
0.0293417;37.0655
0.0293727;37.0628
0.0294037;37.0601
0.0294347;37.0574
0.0294657;37.0547
0.0294966;37.0519
0.0295276;37.0492
0.0295586;37.0465
0.0295896;37.0438
0.0296206;37.0411
0.0296516;37.0384
0.0296825;37.0357
0.0297135;37.033
0.0297445;37.0303
0.0297755;37.0276
0.0298065;37.0249
0.0298375;37.0222
0.0298684;37.0195
0.0298994;37.0168
0.0299304;37.0141
0.0299614;37.0114
0.0299924;37.0087
0.0300234;37.006
0.0300544;37.0033
0.0300853;37.0006
0.0301163;36.9979
0.0301473;36.9952
0.0301783;36.9925
0.0302093;36.9898
0.0302403;36.9871
0.0302712;36.9844
0.0303022;36.9817
0.0303332;36.979
0.0303642;36.9763
0.0303952;36.9736
0.0304262;36.971
0.0304571;36.9683
0.0304881;36.9656
0.0305191;36.9629
0.0305501;36.9602
0.0305811;36.9575
0.0306121;36.9548
0.030643;36.9522
0.030674;36.9495
0.030705;36.9468
0.030736;36.9441
0.030767;36.9414
0.030798;36.9388
0.0308289;36.9361
0.0308599;36.9334
0.0308909;36.9307
0.0309219;36.9281
0.0309529;36.9254
0.0309839;36.9227
0.0310149;36.9201
0.0310458;36.9174
0.0310768;36.9147
0.0311078;36.912
0.0311388;36.9094
0.0311698;36.9067
0.0312008;36.904
0.0312317;36.9014
0.0312627;36.8987
0.0312937;36.8961
0.0313247;36.8934
0.0313557;36.8907
0.0313867;36.8881
0.0314176;36.8854
0.0314486;36.8828
0.0314796;36.8801
0.0315106;36.8774
0.0315416;36.8748
0.0315726;36.8721
0.0316035;36.8695
0.0316345;36.8668
0.0316655;36.8642
0.0316965;36.8615
0.0317275;36.8588
0.0317585;36.8561
0.0317894;36.8534
0.0318204;36.8507
0.0318514;36.848
0.0318824;36.8452
0.0319134;36.8425
0.0319444;36.8397
0.0319754;36.8369
0.0320063;36.8341
0.0320373;36.8314
0.0320683;36.8285
0.0320993;36.8257
0.0321303;36.8229
0.0321613;36.8201
0.0321922;36.8172
0.0322232;36.8144
0.0322542;36.8115
0.0322852;36.8086
0.0323162;36.8057
0.0323472;36.8028
0.0323781;36.7999
0.0324091;36.797
0.0324401;36.794
0.0324711;36.7911
0.0325021;36.7881
0.0325331;36.7852
0.032564;36.7822
0.032595;36.7792
0.032626;36.7762
0.032657;36.7732
0.032688;36.7702
0.032719;36.7672
0.0327499;36.7641
0.0327809;36.7611
0.0328119;36.758
0.0328429;36.755
0.0328739;36.7519
0.0329049;36.7488
0.0329359;36.7457
0.0329668;36.7426
0.0329978;36.7395
0.0330288;36.7363
0.0330598;36.7332
0.0330908;36.7301
0.0331218;36.7269
0.0331527;36.7237
0.0331837;36.7206
0.0332147;36.7174
0.0332457;36.7142
0.0332767;36.711
0.0333077;36.7078
0.0333386;36.7045
0.0333696;36.7013
0.0334006;36.6981
0.0334316;36.6948
0.0334626;36.6916
0.0334936;36.6883
0.0335245;36.685
0.0335555;36.6817
0.0335865;36.6784
0.0336175;36.6751
0.0336485;36.6718
0.0336795;36.6685
0.0337104;36.6652
0.0337414;36.6618
0.0337724;36.6585
0.0338034;36.6551
0.0338344;36.6517
0.0338654;36.6484
0.0338964;36.645
0.0339273;36.6416
0.0339583;36.6382
0.0339893;36.6348
0.0340203;36.6314
0.0340513;36.6279
0.0340823;36.6245
0.0341132;36.621
0.0341442;36.6176
0.0341752;36.6141
0.0342062;36.6107
0.0342372;36.6072
0.0342682;36.6037
0.0342991;36.6002
0.0343301;36.5967
0.0343611;36.5932
0.0343921;36.5897
0.0344231;36.5861
0.0344541;36.5826
0.034485;36.5791
0.034516;36.5755
0.034547;36.5719
0.034578;36.5684
0.034609;36.5648
0.03464;36.5612
0.0346709;36.5576
0.0347019;36.554
0.0347329;36.5504
0.0347639;36.5468
0.0347949;36.5432
0.0348259;36.5396
0.0348569;36.5359
0.0348878;36.5323
0.0349188;36.5286
0.0349498;36.525
0.0349808;36.5213
0.0350118;36.5176
0.0350428;36.5139
0.0350737;36.5103
0.0351047;36.5066
0.0351357;36.5029
0.0351667;36.4991
0.0351977;36.4954
0.0352287;36.4917
0.0352596;36.488
0.0352906;36.4842
0.0353216;36.4805
0.0353526;36.4767
0.0353836;36.473
0.0354146;36.4692
0.0354455;36.4654
0.0354765;36.4617
0.0355075;36.4579
0.0355385;36.4541
0.0355695;36.4503
0.0356005;36.4465
0.0356314;36.4426
0.0356624;36.4388
0.0356934;36.435
0.0357244;36.4312
0.0357554;36.4273
0.0357864;36.4235
0.0358173;36.4196
0.0358483;36.4158
