Time t;Amplitude
0;0.000110796
3.09839e-05;0.000103523
6.19677e-05;9.4959e-05
9.29516e-05;8.52115e-05
0.000123935;7.44012e-05
0.000154919;6.26626e-05
0.000185903;5.01414e-05
0.000216887;3.69937e-05
0.000247871;2.33829e-05
0.000278855;9.47877e-06
0.000309839;-4.54552e-06
0.000340823;-1.8515e-05
0.000371806;-3.22555e-05
0.00040279;-4.55953e-05
0.000433774;-5.83678e-05
0.000464758;-7.04134e-05
0.000495742;-8.15815e-05
0.000526726;-9.1732e-05
0.00055771;-0.000100738
0.000588693;-0.000108486
0.000619677;-0.00011488
0.000650661;-0.000119838
0.000681645;-0.000123299
0.000712629;-0.000125217
0.000743613;-0.000125569
0.000774597;-0.00012435
0.000805581;-0.000121574
0.000836564;-0.000117276
0.000867548;-0.000111508
0.000898532;-0.000104342
0.000929516;-9.58675e-05
0.0009605;-8.61898e-05
0.000991484;-7.54299e-05
0.00102247;-6.3722e-05
0.00105345;-5.12126e-05
0.00108444;-3.8058e-05
0.00111542;-2.44231e-05
0.0011464;-1.04785e-05
0.00117739;3.60076e-06
0.00120837;1.76382e-05
0.00123935;3.14575e-05
0.00127034;4.48852e-05
0.00130132;5.77524e-05
0.00133231;6.98972e-05
0.00136329;8.11667e-05
0.00139427;9.14189e-05
0.00142526;0.000100524
0.00145624;0.000108368
0.00148723;0.000114851
0.00151821;0.000119891
0.00154919;0.000123423
0.00158018;0.000125403
0.00161116;0.000125805
0.00164214;0.000124623
0.00167313;0.000121871
0.00170411;0.000117583
0.0017351;0.000111812
0.00176608;0.00010463
0.00179706;9.61269e-05
0.00182805;8.64092e-05
0.00185903;7.55987e-05
0.00189002;6.38311e-05
0.001921;5.12545e-05
0.00195198;3.8027e-05
0.00198297;2.43152e-05
0.00201395;1.02919e-05
0.00204494;-3.86599e-06
0.00207592;-1.79797e-05
0.0021069;-3.18711e-05
0.00213789;-4.53643e-05
0.00216887;-5.82888e-05
0.00219985;-7.04807e-05
0.00223084;-8.17856e-05
0.00226182;-9.20599e-05
0.00229281;-0.000101173
0.00232379;-0.000109009
0.00235477;-0.000115468
0.00238576;-0.000120468
0.00241674;-0.000123944
0.00244773;-0.000125851
0.00247871;-0.000126164
0.00250969;-0.000124879
0.00254068;-0.00012201
0.00257166;-0.000117593
0.00260264;-0.000111683
0.00263363;-0.000104354
0.00266461;-9.56984e-05
0.0026956;-8.58247e-05
0.00272658;-7.48576e-05
0.00275756;-6.29356e-05
0.00278855;-5.02095e-05
0.00281953;-3.68403e-05
0.00285052;-2.29976e-05
0.0028815;-8.85671e-06
0.00291248;5.40269e-06
0.00294347;1.95995e-05
0.00297445;3.35531e-05
0.00300544;4.70859e-05
0.00303642;6.00254e-05
0.0030674;7.22068e-05
0.00309839;-8.34743e-05
0.00312937;-9.3684e-05
0.00316035;-0.000102705
0.00319134;-0.000110422
0.00322232;-0.000116735
0.00325331;-0.000121564
0.00328429;-0.000124844
0.00331527;-0.000126535
0.00334626;-0.000126612
0.00337724;-0.000125075
0.00340823;-0.00012194
0.00343921;-0.000117248
0.00347019;-0.000111056
0.00350118;-0.000103443
0.00353216;-9.45057e-05
0.00356314;-8.43562e-05
0.00359413;-7.31237e-05
0.00362511;-6.0951e-05
0.0036561;-4.79929e-05
0.00368708;-3.44145e-05
0.00371806;-2.0389e-05
0.00374905;-6.09554e-06
0.00378003;8.28326e-06
0.00381102;2.25634e-05
0.003842;3.65621e-05
0.00387298;5.00998e-05
0.00390397;6.30027e-05
0.00393495;7.51052e-05
0.00396593;8.62514e-05
0.00399692;9.62978e-05
0.0040279;0.000105115
0.00405889;0.000112588
0.00408987;0.000118621
0.00412085;0.000123135
0.00415184;0.000126071
0.00418282;0.00012739
0.00421381;0.000127073
0.00424479;0.000125124
0.00427577;0.000121566
0.00430676;0.000116444
0.00433774;0.000109822
0.00436873;0.000101783
0.00439971;9.24314e-05
0.00443069;8.18848e-05
0.00446168;7.02783e-05
0.00449266;5.77605e-05
0.00452364;4.44916e-05
0.00455463;3.06419e-05
0.00458561;1.63893e-05
0.0046166;1.917e-06
