Time t;Z Position z_t;Signal Amplitude
1.7e-09;-0.00560488;1
1.71e-09;-0.00560488;0.809017
1.72e-09;-0.00560488;0.309017
1.73e-09;-0.00560488;-0.309017
1.74e-09;-0.00560488;-0.809017
1.75e-09;-0.00560488;-1
1.76e-09;-0.00560488;-0.809017
1.77e-09;-0.00560488;-0.309017
1.78e-09;-0.00560488;0.309017
1.79e-09;-0.00560488;0.809017
1.8e-09;-0.00560488;1
1.81e-09;-0.00560488;0.809017
1.82e-09;-0.00560488;0.309017
1.83e-09;-0.00560488;-0.309017
1.84e-09;-0.00560488;-0.809017
1.85e-09;-0.00560488;-1
1.86e-09;-0.00560488;-0.809017
1.87e-09;-0.00560488;-0.309017
1.88e-09;-0.00560488;0.309017
1.89e-09;-0.00560488;0.809017
1.9e-09;-0.00560488;1
1.91e-09;-0.00560488;0.809017
1.92e-09;-0.00560488;0.309017
1.93e-09;-0.00560488;-0.309017
1.94e-09;-0.00560488;-0.809017
1.95e-09;-0.00560488;-1
1.96e-09;-0.00560488;-0.809017
1.97e-09;-0.00560488;-0.309017
1.98e-09;-0.00560488;0.309017
1.99e-09;-0.00560488;0.809017
2e-09;-0.00560488;1
2.01e-09;-0.00560488;0.809017
2.02e-09;-0.00560488;0.309017
2.03e-09;-0.00560488;-0.309017
2.04e-09;-0.00560488;-0.809017
2.05e-09;-0.00560488;-1
2.06e-09;-0.00560488;-0.809017
2.07e-09;-0.00560488;-0.309017
2.08e-09;-0.00560488;0.309017
2.09e-09;-0.00560488;0.809017
2.1e-09;-0.00560488;1
2.11e-09;-0.00560488;0.809017
2.12e-09;-0.00560488;0.309017
2.13e-09;-0.00560488;-0.309017
2.14e-09;-0.00560488;-0.809017
2.15e-09;-0.00560488;-1
2.16e-09;-0.00560488;-0.809017
2.17e-09;-0.00560488;-0.309017
2.18e-09;-0.00560488;0.309017
2.19e-09;-0.00560488;0.809017
2.2e-09;-0.00560488;1
2.21e-09;-0.00560488;0.809017
2.22e-09;-0.00560488;0.309017
2.23e-09;-0.00560488;-0.309017
2.24e-09;-0.00560488;-0.809017
2.25e-09;-0.00560488;-1
2.26e-09;-0.00560488;-0.809017
2.27e-09;-0.00560488;-0.309017
2.28e-09;-0.00560488;0.309017
2.29e-09;-0.00560488;0.809017
2.3e-09;-0.00560488;1
2.31e-09;-0.00560488;0.809017
2.32e-09;-0.00560488;0.309017
2.33e-09;-0.00560488;-0.309017
2.34e-09;-0.00560488;-0.809017
2.35e-09;-0.00560488;-1
2.36e-09;-0.00560488;-0.809017
2.37e-09;-0.00560488;-0.309017
