NanobotID;Bit
57;4.08784e-16
57;6.33e-17
57;-3.50934e-16
57;-6.54902e-16
57;-7.21405e-16
57;-5.19124e-16
57;-1.22165e-16
57;3.19531e-16
57;6.38149e-16
57;7.12468e-16
57;5.14355e-16
57;1.19621e-16
57;-3.20888e-16
57;-6.38873e-16
57;-7.12854e-16
57;-5.14562e-16
57;-1.19731e-16
57;3.20829e-16
57;6.38842e-16
57;7.12837e-16
57;5.14553e-16
57;1.19726e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19726e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19726e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19726e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19726e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19726e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19726e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19726e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19726e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19726e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19726e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19726e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19726e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19726e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19726e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19726e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;2.46028e-16
57;2.86035e-16
57;5.373e-16
57;7.54326e-16
57;7.74447e-16
57;5.47421e-16
57;1.37261e-16
57;-3.11477e-16
57;-6.33853e-16
57;-7.10176e-16
57;-5.13133e-16
57;-1.18969e-16
57;3.21236e-16
57;6.39059e-16
57;7.12953e-16
57;5.14615e-16
57;1.19759e-16
57;-3.20814e-16
57;-6.38834e-16
57;-7.12833e-16
57;-5.14551e-16
57;-1.19725e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14553e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14553e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14554e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14554e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14554e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14554e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12838e-16
57;-5.14554e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12838e-16
57;5.14554e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12839e-16
57;-5.14554e-16
57;-1.19727e-16
57;3.20832e-16
57;6.38843e-16
57;7.12839e-16
57;5.14554e-16
57;1.19727e-16
57;-3.20832e-16
57;-6.38843e-16
57;-7.12839e-16
57;-5.14554e-16
57;-1.19727e-16
