Time t;Z Position z_t;Signal Gain
1.56e-09;-0.00560488;149.988
1.57e-09;-0.00560488;149.988
1.58e-09;-0.00560488;149.988
1.59e-09;-0.00560488;149.988
1.6e-09;-0.00560488;149.988
1.61e-09;-0.00560488;149.988
1.62e-09;-0.00560488;149.988
1.63e-09;-0.00560488;149.988
1.64e-09;-0.00560488;149.988
1.65e-09;-0.00560488;149.988
1.66e-09;-0.00560488;149.988
1.67e-09;-0.00560488;149.988
1.68e-09;-0.00560488;149.988
1.69e-09;-0.00560488;149.988
1.7e-09;-0.00560488;149.988
1.71e-09;-0.00560488;149.988
1.72e-09;-0.00560488;149.988
1.73e-09;-0.00560488;149.988
1.74e-09;-0.00560488;149.988
1.75e-09;-0.00560488;149.988
1.76e-09;-0.00560488;149.988
1.77e-09;-0.00560488;149.988
1.78e-09;-0.00560488;149.988
1.79e-09;-0.00560488;149.988
1.8e-09;-0.00560488;149.988
1.81e-09;-0.00560488;149.988
1.82e-09;-0.00560488;149.988
1.83e-09;-0.00560488;149.988
1.84e-09;-0.00560488;149.988
1.85e-09;-0.00560488;149.988
1.86e-09;-0.00560488;149.988
1.87e-09;-0.00560488;149.988
1.88e-09;-0.00560488;149.988
1.89e-09;-0.00560488;149.988
1.9e-09;-0.00560488;149.988
1.91e-09;-0.00560488;149.988
1.92e-09;-0.00560488;149.988
1.93e-09;-0.00560488;149.988
1.94e-09;-0.00560488;149.988
1.95e-09;-0.00560488;149.988
1.96e-09;-0.00560488;149.988
1.97e-09;-0.00560488;149.988
1.98e-09;-0.00560488;149.988
1.99e-09;-0.00560488;149.988
2e-09;-0.00560488;149.988
2.01e-09;-0.00560488;149.988
2.02e-09;-0.00560488;149.988
2.03e-09;-0.00560488;149.988
2.04e-09;-0.00560488;149.988
2.05e-09;-0.00560488;149.988
2.06e-09;-0.00560488;149.988
2.07e-09;-0.00560488;149.988
2.08e-09;-0.00560488;149.988
2.09e-09;-0.00560488;149.988
2.1e-09;-0.00560488;149.988
2.11e-09;-0.00560488;149.988
2.12e-09;-0.00560488;149.988
2.13e-09;-0.00560488;149.988
2.14e-09;-0.00560488;149.988
2.15e-09;-0.00560488;149.988
2.16e-09;-0.00560488;149.988
2.17e-09;-0.00560488;149.988
2.18e-09;-0.00560488;149.988
2.19e-09;-0.00560488;149.988
2.2e-09;-0.00560488;149.988
2.21e-09;-0.00560488;149.988
2.22e-09;-0.00560488;149.988
2.23e-09;-0.00560488;149.988
2.24e-09;-0.00560488;149.988
2.25e-09;-0.00560488;149.988
2.26e-09;-0.00560488;149.988
2.27e-09;-0.00560488;149.988
2.28e-09;-0.00560488;149.988
2.29e-09;-0.00560488;149.988
2.3e-09;-0.00560488;149.988
2.31e-09;-0.00560488;149.988
2.32e-09;-0.00560488;149.988
2.33e-09;-0.00560488;149.988
2.34e-09;-0.00560488;149.988
2.35e-09;-0.00560488;149.988
2.36e-09;-0.00560488;149.988
2.37e-09;-0.00560488;149.988
2.38e-09;-0.00560488;149.988
2.39e-09;-0.00560488;149.988
2.4e-09;-0.00560488;149.988
2.41e-09;-0.00560488;149.988
2.42e-09;-0.00560488;149.988
2.43e-09;-0.00560488;149.988
2.44e-09;-0.00560488;149.988
2.45e-09;-0.00560488;149.988
2.46e-09;-0.00560488;149.988
2.47e-09;-0.00560488;149.988
2.48e-09;-0.00560488;149.988
2.49e-09;-0.00560488;149.988
2.5e-09;-0.00560488;149.988
2.51e-09;-0.00560488;149.988
2.52e-09;-0.00560488;149.988
2.53e-09;-0.00560488;149.988
2.54e-09;-0.00560488;149.988
2.55e-09;-0.00560488;149.988
2.56e-09;-0.00560488;149.988
2.57e-09;-0.00560488;149.988
2.58e-09;-0.00560488;149.988
2.59e-09;-0.00560488;149.988
2.6e-09;-0.00560488;149.988
2.61e-09;-0.00560488;149.988
2.62e-09;-0.00560488;149.988
2.63e-09;-0.00560488;149.988
2.64e-09;-0.00560488;149.988
2.65e-09;-0.00560488;149.988
2.66e-09;-0.00560488;149.988
2.67e-09;-0.00560488;149.988
2.68e-09;-0.00560488;149.988
2.69e-09;-0.00560488;149.988
2.7e-09;-0.00560488;149.988
2.71e-09;-0.00560488;149.988
2.72e-09;-0.00560488;149.988
2.73e-09;-0.00560488;149.988
2.74e-09;-0.00560488;149.988
2.75e-09;-0.00560488;149.988
2.76e-09;-0.00560488;149.988
2.77e-09;-0.00560488;149.988
2.78e-09;-0.00560488;149.988
2.79e-09;-0.00560488;149.988
2.8e-09;-0.00560488;149.988
2.81e-09;-0.00560488;149.988
2.82e-09;-0.00560488;149.988
2.83e-09;-0.00560488;149.988
2.84e-09;-0.00560488;149.988
2.85e-09;-0.00560488;149.988
2.86e-09;-0.00560488;149.988
2.87e-09;-0.00560488;149.988
2.88e-09;-0.00560488;149.988
2.89e-09;-0.00560488;149.988
2.9e-09;-0.00560488;149.988
2.91e-09;-0.00560488;149.988
2.92e-09;-0.00560488;149.988
2.93e-09;-0.00560488;149.988
2.94e-09;-0.00560488;149.988
2.95e-09;-0.00560488;149.988
2.96e-09;-0.00560488;149.988
2.97e-09;-0.00560488;149.988
2.98e-09;-0.00560488;149.988
2.99e-09;-0.00560488;149.988
3e-09;-0.00560488;149.988
3.01e-09;-0.00560488;149.988
3.02e-09;-0.00560488;149.988
3.03e-09;-0.00560488;149.988
3.04e-09;-0.00560488;149.988
3.05e-09;-0.00560488;149.988
3.06e-09;-0.00560488;149.988
3.07e-09;-0.00560488;149.988
3.08e-09;-0.00560488;149.988
3.09e-09;-0.00560488;149.988
3.1e-09;-0.00560488;149.988
3.11e-09;-0.00560488;149.988
3.12e-09;-0.00560488;149.988
3.13e-09;-0.00560488;149.988
3.14e-09;-0.00560488;149.988
3.15e-09;-0.00560488;149.988
