NanobotID;Bit
44;3.37151e-16
44;2.50848e-17
44;-3.71322e-16
44;-6.65779e-16
44;-7.27208e-16
44;-5.22219e-16
44;-1.23816e-16
44;3.1865e-16
44;6.37679e-16
44;7.12217e-16
44;5.14222e-16
44;1.1955e-16
44;-3.20926e-16
44;-6.38893e-16
44;-7.12865e-16
44;-5.14567e-16
44;-1.19734e-16
44;3.20828e-16
44;6.38841e-16
44;7.12837e-16
44;5.14552e-16
44;1.19726e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19726e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19726e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19726e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19726e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19726e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19726e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19726e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19726e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19726e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19726e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19726e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19726e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19726e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19726e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19726e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;2.46028e-16
44;2.86035e-16
44;5.373e-16
44;7.54326e-16
44;7.74447e-16
44;5.47421e-16
44;1.37261e-16
44;-3.11477e-16
44;-6.33853e-16
44;-7.10176e-16
44;-5.13133e-16
44;-1.18969e-16
44;3.21236e-16
44;6.39059e-16
44;7.12953e-16
44;5.14615e-16
44;1.19759e-16
44;-3.20814e-16
44;-6.38834e-16
44;-7.12833e-16
44;-5.14551e-16
44;-1.19725e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19727e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19727e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19727e-16
44;-3.20832e-16
44;-6.38843e-16
44;-7.12838e-16
44;-5.14553e-16
44;-1.19727e-16
44;3.20832e-16
44;6.38843e-16
44;7.12838e-16
44;5.14553e-16
44;1.19727e-16
